URL,Status Code,Indexable,Reason,Meta Robots,Canonical
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/aq-water-injected,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/aq-water-injected
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/centrifugal-compressor-zh-zhplus,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/centrifugal-compressor-zh-zhplus
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lfxd-dental,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/lfxd-dental
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/high-pressure-reciprocating-air-compressor-p,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/high-pressure-reciprocating-air-compressor-p
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/single-stage-centrifugal-air-compressor-zhl,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/single-stage-centrifugal-air-compressor-zhl
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/booster-air-compressor-zd,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/booster-air-compressor-zd
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/reciprocating-piston-compressors-hx-hn-15,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/reciprocating-piston-compressors-hx-hn-15
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/low-pressure-screw-compressor-ze-za-vsd,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/low-pressure-screw-compressor-ze-za-vsd
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/rotary-screw-air-compressors-zr-zt,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/rotary-screw-air-compressors-zr-zt
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/two-stage-centrifugal-compressor-zb2-vsd-plus,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/two-stage-centrifugal-compressor-zb2-vsd-plus
https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/rotary-tooth,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/oil-free-air-compressors/rotary-tooth
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g2-7,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g2-7
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-vsds-series,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-vsds-series
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/aircube-containerized-compressor-room,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/aircube-containerized-compressor-room
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-screw-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-screw-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-plus-screw-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-plus-screw-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-37-45-plus,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-37-45-plus
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/oil-lubricated-screw-compressor-ga-180-315-vsd-plus,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/oil-lubricated-screw-compressor-ga-180-315-vsd-plus
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g-series-oil-lubricated,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g-series-oil-lubricated
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/two-stage-compressor-gr-110-200,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/two-stage-compressor-gr-110-200
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g2-7vsd,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/g2-7vsd
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-series,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ga-series
https://www.atlascopco.com/en-us/compressors/products/air-compressor/centrifugal-compressor,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/centrifugal-compressor
https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ls-lp-cast-iron,200,True,Indexable,,https://www.atlascopco.com/en-us/compressors/products/air-compressor/rotary-screw-compressor/ls-lp-cast-iron
